Picarro Gas: time (epoch),Picarro Gas: CO2,Picarro Gas: CH4,Picarro Gas: CO,Picarro Gas: H2O,Laser Distance Sensor: time (epoch),Laser Distance Sensor: Distance (cm),Laser Distance Sensor: Temperature (C),Abakus Particle Counter: time (epoch),Abakus Particle Counter: Total Counts,Flowmeter: time (epoch),Flowmeter: SLI2000 (uL/min),Flowmeter: SLS1500 (mL/min)
1726275637.6072617,-0.99,-0.001,-0.006,0.021,1726275636.7725537,0.0,-3.5,1726275636.6943743,0,1726275636.6943743,7.0,-0.004
1726275638.5664942,-0.99,-0.001,-0.006,0.021,1726275637.7012572,0.0,-3.6,1726275637.6072617,0,1726275637.6072617,9.4,-0.002
1726275639.4793692,-0.99,-0.001,-0.006,0.021,1726275638.644643,0.0,-3.6,1726275638.5664942,0,1726275638.5664942,7.6,-0.004
1726275640.4218502,-0.99,-0.001,-0.006,0.021,1726275639.5731008,0.0,-3.6,1726275639.4793692,0,1726275639.4793692,8.2,-0.006
1726275641.350028,-0.99,-0.001,-0.006,0.021,1726275640.5001917,0.0,-3.6,1726275640.4218502,0,1726275640.4218502,8.6,0.0
1726275642.2626116,-0.99,-0.001,-0.006,0.021,1726275641.4284017,0.0,-3.7,1726275641.350028,0,1726275641.350028,8.2,-0.002
1726275643.1895578,-0.99,-0.001,-0.006,0.021,1726275642.3410206,0.0,-3.7,1726275642.2626116,0,1726275642.2626116,8.0,0.0
1726275644.1041737,-0.99,-0.001,-0.006,0.021,1726275643.2676706,0.0,-3.7,1726275643.1739647,0,1726275643.1895578,9.2,0.0
1726275645.0306673,-0.99,-0.001,-0.006,0.021,1726275644.1825948,0.0,-3.7,1726275644.1041737,0,1726275644.1041737,8.6,-0.004
1726275645.9588387,-0.99,-0.001,-0.006,0.021,1726275645.1088152,0.0,-3.8,1726275645.0306673,0,1726275645.0306673,8.6,0.002
1726275646.8864658,-0.99,-0.001,-0.006,0.021,1726275646.0372329,0.0,-3.8,1726275645.9588387,0,1726275645.9588387,9.2,-0.002
1726275647.8139994,-0.99,-0.001,-0.006,0.021,1726275646.964863,0.0,-3.8,1726275646.8864658,0,1726275646.8864658,8.2,0.0
1726275648.7421708,-0.99,-0.001,-0.006,0.021,1726275647.892386,0.0,-3.8,1726275647.8139994,0,1726275647.8139994,8.4,-0.004
1726275649.7193477,-0.99,-0.001,-0.006,0.021,1726275648.8361993,0.0,-3.8,1726275648.7421708,0,1726275648.7421708,9.2,-0.004
1726275650.646055,-0.99,-0.001,-0.006,0.021,1726275649.797736,0.0,-3.9,1726275649.7193477,0,1726275649.7193477,8.8,-0.002
1726275651.6076152,-0.99,-0.001,-0.006,0.021,1726275650.7398279,0.0,-3.9,1726275650.646055,0,1726275650.646055,8.6,0.006
